Group,Smooth,AdjCos
A,0.13008101223195817,0.1122467688840825
B,0.17329411253831886,0.15540448851129032
C,0.09081338210653545,0.09254768437989344
D,0.22998999523174807,0.2327916146593696
E,0.12343995210417713,0.10502410759268963
F,0.1615162355964121,0.1444894237117987
