chapter_id,new_order
1,40
2,37
3,2
4,47
5,22
6,50
7,8
8,13
9,14
10,30
11,16
12,17
13,73
14,3
15,71
16,70
17,36
18,18
19,53
20,11
21,9
22,45
23,6
24,44
25,41
26,15
27,26
28,63
29,33
30,46
31,28
32,59
33,35
34,54
35,39
36,58
37,27
38,65
39,76
40,68
41,49
42,25
43,48
44,38
45,24
46,1
47,5
48,60
49,34
50,52
51,43
52,12
53,10
54,7
55,29
56,4
57,32
58,79
59,80
60,81
61,69
62,77
63,78
64,75
65,74
66,66
67,67
68,72
69,61
70,57
71,55
72,56
73,51
74,42
75,64
76,62
77,20
78,31
79,19
80,23
81,21
