chapter_id,new_order
1,15
2,8
3,11
4,13
5,29
6,9
7,65
8,26
9,44
10,22
11,37
12,73
13,47
14,70
15,58
16,36
17,46
18,25
19,2
20,23
21,31
22,33
23,50
24,45
25,16
26,38
27,4
28,53
29,21
30,24
31,14
32,42
33,39
34,30
35,1
36,40
37,35
38,6
39,72
40,51
41,28
42,61
43,43
44,10
45,59
46,68
47,32
48,77
49,27
50,5
51,3
52,63
53,66
54,7
55,64
56,12
57,18
58,71
59,34
60,81
61,80
62,78
63,76
64,75
65,74
66,67
67,69
68,79
69,41
70,48
71,55
72,52
73,49
74,57
75,60
76,62
77,56
78,54
79,17
80,20
81,19
