chapter_id,new_order
1,35
2,50
3,37
4,8
5,26
6,1
7,11
8,46
9,30
10,21
11,13
12,61
13,29
14,63
15,47
16,70
17,34
18,15
19,36
20,2
21,4
22,16
23,9
24,31
25,24
26,10
27,17
28,38
29,42
30,58
31,14
32,77
33,59
34,6
35,23
36,33
37,53
38,65
39,25
40,43
41,60
42,28
43,40
44,51
45,52
46,22
47,7
48,32
49,3
50,5
51,44
52,66
53,49
54,27
55,12
56,64
57,73
58,71
59,18
60,81
61,79
62,80
63,76
64,75
65,74
66,68
67,67
68,72
69,69
70,78
71,39
72,56
73,55
74,62
75,48
76,45
77,41
78,57
79,54
80,20
81,19
